id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
17460981,House on a quiet dead-end street in hip Ridgewood,63396104072,verified,Kelli,Queens,Glendale,40.69507,-73.89599,United States,US,FALSE,flexible,Entire home/apt,2012,232,46,5,1,6/30/2018,0.08,4,1,0,"No pets or smoking allowed any where on the premises.  Check-in is at 4:00 pm or later and check out is at 11 am.  After hours self check-in is available but MUST be PER-ARRANGED with host in advance. Bag storage is extra as are early check-in and late check out when possible. Guest are expected to be respectful of others in the building, neighbors, and the property.",
37211229,Entire 1 Bedroom apt,71565439330,verified,Kevin,Queens,Jamaica,40.67684,-73.77502,United States,US,FALSE,flexible,Entire home/apt,2022,996,199,1,1,5/16/2021,0.09,5,1,0,,
16252548,It's All Yours: Big Beautiful 1 Bedroom in Harlem,50796166627,unconfirmed,Jahmil,Manhattan,Harlem,40.81425,-73.94187,United States,US,TRUE,flexible,Entire home/apt,2019,1127,225,3,5,5/28/2018,0.31,3,1,0,"A few totally painless house rules:  - Please take your shoes off once inside the apartment. My apartment is kept very clean and tidy, so taking shoes off is essential to keeping it the same way for you and for me. - Kitchen is available for ""light use"" and ""vegetarian"" food only. You are free to bring in outside cooked food/meat. Please stack the dishes in the dishwasher to the left of the sink. Keep the kitchen and counters clean immediately after use. Food should be consumed only in the dining area and not in the room. - When leaving the apartment, please always lock the top lock on the door, shut off all the lights before you leave, if you open windows, please close and lock them before you leave the apartment. - Quiet time after 10pm. - NO SMOKING IN THE APARTMENT (You can smoke in the balcony area)!  - SADLY NO PETS!! - ABSOLUTELY NO PARTIES!!!",
23705284,Cozy Brooklyn Private Bedroom,28905384755,unconfirmed,Rachael Lee,Brooklyn,Bedford-Stuyvesant,40.67933,-73.94103,United States,US,FALSE,strict,Private room,2018,971,194,3,1,2/16/2019,0.21,2,1,0,"No smoking! Please let me know as soon as you make reservation about your time of arrival.  Late arrival after 10:00 P.M. there will be $150 extra charge.  $50/more than one person during the holidays..  The use of the washer and dryer between 8:00 A.M.-9:00 P.M.  No refund if cancelled in less than two weeks.   Please take time to read all the house rule details on this site. Yes, I am very close to public transportation. Yes, you can walk every where from my place. Yes, I charge $50 for WiFi",
49338632,2 Floor Condo in Williamsburg with Pvt Terrace,28447123313,verified,Thobey,Brooklyn,Williamsburg,40.71684,-73.94578,United States,US,TRUE,moderate,Entire home/apt,2004,653,131,1,0,,,3,1,0,,
43771448,Bright big bedroom in Brooklyn,77280159569,unconfirmed,Marie,Brooklyn,Kensington,40.63501,-73.97298,United States,US,FALSE,strict,Private room,2012,894,179,1,1,12/10/2016,0.03,5,1,0,Not too loud. No 'house rules' necessary as long as general nice manners are followed.,
19873979,Private Room,51588895565,verified,Yvonne,Brooklyn,Borough Park,40.63528,-74.00734,United States,US,FALSE,strict,Private room,2010,922,184,1,4,6/1/2019,0.84,4,7,152,"Please strip the beds when you leave, lock the doors, and close the windows.  Please respect our home! Thank you.",
29578995,City Saver in Brooklyn,2125505600,unconfirmed,James,Brooklyn,Sunset Park,40.64876,-74.00597,United States,US,FALSE,moderate,Entire home/apt,2007,523,105,1,47,2/25/2022,1.88,2,1,0,,
49615334,"Cozy, cool, spacious Midtown!",19585442982,verified,Daniel,Manhattan,Murray Hill,40.74796,-73.97949,United States,US,FALSE,moderate,Shared room,2013,1069,214,1,3,8/25/2016,0.08,3,1,0,"We live on the 3rd floor of a 3-family house, so please minimize noise for our neighbors, especially at night and when entering or exiting.  Our bedroom and office are not for guest use.",
19295721,Heaven away from Home!.,92208593104,unconfirmed,Majidudeen,Queens,Jamaica,40.70647,-73.79794,United States,US,FALSE,strict,Entire home/apt,2015,231,46,30,0,,,3,1,365,"Starting mid-November, I am looking for a longer-term guest (2+ months); someone who is responsible and employed outside of the home. A sublease agreement will need to be signed for any stay longer than one month.",
33624040,5 Bedroom Home /Great neighborhood & close to NYC,52914711559,verified,Ilya,Queens,Fresh Meadows,40.72926,-73.78704,United States,US,TRUE,flexible,Entire home/apt,2010,416,83,4,11,1/2/2022,1.51,2,4,107,,
47286285,"Lovely, charming and clean bedroom in Manhattan.",21471019967,verified,Bel And Camila,Manhattan,East Harlem,40.79567,-73.9366,United States,US,TRUE,flexible,Private room,2003,69,14,1,44,6/21/2019,2.07,2,2,305,"- Be respectful, we are opening our home to you. - Clean up after yourself. - Be mindful of the neighbors and our busy work schedule. - If you have any questions, please ask, we are very friendly people. - Enjoy your stay!",
43254495,Brooklyn Heights brownstone garden-level studio,57722370297,unconfirmed,Steven,Brooklyn,Brooklyn Heights,40.69468,-73.99327,United States,US,TRUE,moderate,Entire home/apt,2007,967,193,3,24,3/7/2019,0.72,1,1,2,,
57340907,Cozy 2 Bedroom (Train L or M),5409118765,unconfirmed,Albertina,Queens,Ridgewood,40.702,-73.89768,United States,US,FALSE,strict,Entire home/apt,2011,1152,230,3,10,5/28/2019,0.37,5,1,16,"Please keep kitchen clean. Make sure porch door is always locked when not in use. Central AC temperature must stay above 70 degrees When checking out, please leave keys on the desk provided in the room. Do not have to worry about locking the door on the way out.",
55735371,Sun-filled Apartment in Great Location,83179227847,unconfirmed,Jesse,Manhattan,Chelsea,40.74184,-74.00108,United States,US,TRUE,flexible,Private room,2008,466,93,1,10,6/30/2019,1.09,4,1,0,,
35777458,Great Location/2beds Studio,96824582366,unconfirmed,Studioplus,Manhattan,Midtown,40.74802,-73.98713,United States,US,FALSE,strict,Entire home/apt,2011,363,73,2,33,10/27/2021,0.96,3,14,338,,
28081710,Bright and Cozy Uptown Retreat,55322386206,verified,Kristen,Manhattan,Washington Heights,40.85139,-73.92952,United States,US,FALSE,moderate,Entire home/apt,2021,377,75,2,0,,,4,1,37,,
41550097,one Bed in room,20859726408,verified,Алексей,Brooklyn,Kensington,40.63285,-73.97483,United States,US,TRUE,strict,Shared room,2016,898,180,3,0,,,3,1,365,,
20841057,Adorable Polly Pocket-Sized Prospect Heights Space,66792752586,unconfirmed,Jess,Brooklyn,Prospect Heights,40.67881,-73.96888,United States,US,FALSE,flexible,Entire home/apt,2022,397,79,2,8,5/11/2019,0.83,5,1,0,"You can smoke on the back porch.  Smallish, well-behaved dogs are welcome.",
5484907,Strawberry Fields,90871112366,unconfirmed,Kenneth,Manhattan,Upper West Side,40.77894,-73.98099,United States,US,FALSE,moderate,Entire home/apt,2017,449,90,4,89,7/3/2019,1.76,2,1,6,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
7177707,2 BEDROOM IN WILLIAMSBURG MINUTES FROM MANHATTAN,39612309867,unconfirmed,Kevin,Brooklyn,Williamsburg,40.71871,-73.95862,United States,US,FALSE,strict,Entire home/apt,2017,831,166,2,53,5/26/2019,1.2,5,1,199,"1. No additional guests not part of the reservation in the building at all.  2. No Pets 3. No Smoking  4. No Children under 10. (The house is not child proof) 5. Remove your shoes 6. Check in is 3-11pm  7. Check out is 10am  *early check in or late check out must be arranged before the reservation starts and may not be accommodated* 8. The bathroom is a shared space, keep the sink clear, there is limited room for your bath products in the shower. 9. No Parties",
23829552,Spacious One Bedroom in Hell's Kitchen,90961425095,verified,Michael,Manhattan,Hell's Kitchen,40.75951,-73.99455,United States,US,FALSE,strict,Entire home/apt,2012,398,80,2,0,,,4,1,0,"No shoes in the apartment please.  For long term guests (5+days)- please remember this is a home not a hotel, please pick up after yourself and assist with house cleaning once per week, wash your own laundry including bedding and towels. ALL Guests -please remember to close and lock all doors.  Do NOT lose your flat key's - if you lose the key you the guest is responsible for contacting and paying locksmith fees in addition to extra key fee  ( this cost can be close to $500) please DO NOT lose your key. The reason why I'm listing these rules is because some people think that hosts are servants and slaves and we are not therefore be respectful please to all of your hosts. Make yourself at home and enjoy your stay but as the same time be observant and caring. I go to bed early due to long work hours therefore it is much appreciated if guests are not cooking pass 20:00.   Thank you very much and safe travels.",
57362446,Your 1 bedroom home away from home!,95572379802,verified,,Manhattan,Upper West Side,40.79563,-73.97634,United States,US,TRUE,flexible,Entire home/apt,2010,,,3,38,6/10/2019,1.4,3,1,31,,
51969789,AMAZING Greenpoint/Williamsburg PRIVATE Room,87315779341,verified,Elena,Brooklyn,Greenpoint,40.73304,-73.95125,United States,US,TRUE,moderate,Private room,2008,191,38,1,16,5/19/2019,1.08,3,1,280,,
2885784,"Large, Sunny Brooklyn Apartment",20143051050,verified,Lauren,Brooklyn,Crown Heights,40.66539,-73.95651,United States,US,FALSE,moderate,Entire home/apt,2012,1074,215,2,3,8/29/2016,0.04,4,1,365,,
41969293,Brooklyn Two Bedroom APT near the TRAIN,67038037558,verified,Vlad,Brooklyn,Kensington,40.64265,-73.98355,United States,US,FALSE,flexible,Entire home/apt,2004,929,186,3,2,5/30/2019,0.79,2,1,177,,
15511914,Private Room in Astoria minutes to NYC,64140705150,unconfirmed,Mayra,Queens,Ditmars Steinway,40.77864,-73.91445,United States,US,TRUE,moderate,Private room,2003,667,133,1,90,5/13/2019,4.13,2,2,100,No Smoking No Pets,
41727386,Beautiful room in renovated apt; steps from subway,81831340784,verified,Chelsea,Brooklyn,Bedford-Stuyvesant,40.67996,-73.94085,United States,US,TRUE,flexible,Private room,2012,956,191,2,1,4/16/2018,0.07,4,3,0,,
37489036,"Private room in Woodside, 1 min to 7 train 61 St station and LIRR",12616729447,unconfirmed,Kaz,Queens,Woodside,40.74423,-73.902,United States,US,TRUE,moderate,Private room,2015,1150,,30,3,2/1/2021,0.17,5,161,315,,
40607874,Charming Classic UWS 2BR & Balcony,18217789431,unconfirmed,Clayton,Manhattan,Upper West Side,40.80193,-73.97038,United States,US,TRUE,moderate,Entire home/apt,2013,121,24,2,18,5/19/2018,0.38,4,2,0,,
